Name,Address,Type,Bedroom limit,Guest limit,Expiration date,Location,x,y
1429 N Claiborne Ave Apt I,1429 N Claiborne Ave Apt I,Short Term Rental Commercial Owner,2,4,05/14/2025 11:59:00 PM,"(29.9703088200009, -90.0686334790722)",3681262.22,536904.64
3004 Canal St Apt 201,3004 Canal St Apt 201,Short Term Rental Commercial Owner,1,2,10/10/2025 11:59:00 PM,"(29.9675753827642, -90.0908132619393)",3674250.72,535833.83
5216 Magazine St,5216 Magazine St,Short Term Rental Commercial Owner,3,6,05/16/2025 11:59:00 PM,"(29.9203010703464, -90.1115178848877)",3667878.6,518572.61
643 S Dupre St,643 S Dupre St,Short Term Rental Commercial Owner,3,6,05/10/2025 11:59:00 PM,"(29.9623994393586, -90.0942079204103)",3673196.27,533940.02
4112 Magazine St,4112 Magazine St,Short Term Rental Commercial Owner,2,4,05/16/2025 11:59:00 PM,"(29.9209156618178, -90.098386455375)",3672035.79,518840.69
506 Jackson Ave,506 Jackson Ave,Short Term Rental Commercial Owner,5,10,05/16/2025 11:59:00 PM,"(29.9247401189089, -90.0727639825349)",3680136.77,520319.78
1115 MARGARET PL UNIT 202,1115 MARGARET PL UNIT 202,Short Term Rental Commercial Owner,2,4,05/14/2025 11:59:00 PM,"(29.9411539310439, -90.0723197041797)",3680211.81,526289.98
337 Morgan St Apt B,337 Morgan St Apt B,Short Term Rental Commercial Owner,1,2,03/22/2025 11:59:00 PM,"(29.9545222352273, -90.0528494476073)",3686323.7,531219.56
3004 Canal St Apt 101,3004 Canal St Apt 101,Short Term Rental Commercial Owner,2,4,10/10/2025 11:59:00 PM,"(29.9675944637038, -90.0908623584911)",3674235.1,535840.6
621 S Lopez St,621 S Lopez St,Short Term Rental Commercial Owner,3,6,05/10/2025 11:59:00 PM,"(29.9639137125841, -90.0966628687184)",3672413.01,534482.27
1905 Sophie Wright Pl,1905 Sophie Wright Pl,Short Term Rental Commercial Owner,1,2,05/14/2025 11:59:00 PM,"(29.9320386360685, -90.074524899933)",3679549.84,522967.65
623 S Lopez St,623 S Lopez St,Short Term Rental Commercial Owner,3,6,05/10/2025 11:59:00 PM,"(29.9638868266176, -90.0966842992805)",3672406.33,534472.42
1429 N Claiborne Ave Apt J,1429 N Claiborne Ave Apt J,Short Term Rental Commercial Owner,2,4,05/14/2025 11:59:00 PM,"(29.9703181280963, -90.0686491535333)",3681257.22,536907.97
1021 Marigny St,1021 Marigny St,Short Term Rental Commercial Owner,5,10,05/16/2025 11:59:00 PM,"(29.9681396695812, -90.0553978980885)",3685461.49,536162.35
1115 MARGARET PL UNIT 101,1115 MARGARET PL UNIT 101,Short Term Rental Commercial Owner,2,4,05/14/2025 11:59:00 PM,"(29.9411276015474, -90.0722725470795)",3680226.85,526280.57
1429 N Claiborne Ave,1429 N Claiborne Ave,Short Term Rental Commercial Owner,1,2,05/14/2025 11:59:00 PM,"(29.9702268378075, -90.0685099159636)",3681301.67,536875.26
1203 Saint Roch Ave,1203 Saint Roch Ave,Short Term Rental Commercial Owner,5,10,08/12/2025 11:59:00 PM,"(29.9699714645408, -90.0519810202361)",3686535.87,536840.54
639 S Lopez St,639 S Lopez St,Short Term Rental Commercial Owner,2,4,05/14/2025 11:59:00 PM,"(29.9635330049713, -90.0967389960545)",3672390.4,534343.57
5214 Magazine St,5214 Magazine St,Short Term Rental Commercial Owner,3,6,05/16/2025 11:59:00 PM,"(29.9202964762981, -90.1114762700936)",3667891.8,518571.08
915 Bartholomew St,915 Bartholomew St,Short Term Rental Commercial Owner,2,4,05/19/2025 11:59:00 PM,"(29.9637483056654, -90.0358542035605)",3691667.36,534635.03
1413 Carondelet St,1413 Carondelet St,Short Term Rental Commercial Owner,5,10,10/13/2025 11:59:00 PM,"(29.9403220553145, -90.0765558892909)",3678873.53,525972.74
2249 Saint Claude Ave,2249 Saint Claude Ave,Short Term Rental Commercial Owner,3,6,05/23/2025 11:59:00 PM,"(29.9689363252531, -90.0551921852486)",3685523.39,536452.77
2247 Saint Claude Ave,2247 Saint Claude Ave,Short Term Rental Commercial Owner,3,6,05/23/2025 11:59:00 PM,"(29.9689344264277, -90.0552316902256)",3685510.89,536451.94
4100 Saint Peter St Apt 2B,4100 Saint Peter St Apt 2B,Short Term Rental Commercial Owner,1,2,10/15/2025 11:59:00 PM,"(29.9790691897163, -90.0964163599363)",3672431.57,539994.23
1209 Magazine St,1209 Magazine St,Short Term Rental Commercial Owner,5,10,10/17/2025 11:59:00 PM,"(29.939074934597, -90.0712217456107)",3680567.86,525537.81
1732 Thalia St,1732 Thalia St,Short Term Rental Commercial Owner,,,10/13/2025 11:59:00 PM,"(29.9408485453372, -90.0770168613968)",3678725.44,526162.59
1728 Thalia St,1728 Thalia St,Short Term Rental Commercial Owner,5,10,10/13/2025 11:59:00 PM,"(29.9408088551039, -90.0769382958756)",3678750.48,526148.43
330 S Diamond St,330 S Diamond St,Short Term Rental Commercial Owner,5,10,10/16/2025 11:59:00 PM,"(29.9423950303548, -90.0666167908036)",3682012.93,526761.21
1720 Thalia St,1720 Thalia St,Short Term Rental Commercial Owner,,,10/13/2025 11:59:00 PM,"(29.9407219467357, -90.0767819228919)",3678800.35,526117.37
1012 Elysian Fields Ave Apt 1,1012 Elysian Fields Ave Apt 1,Short Term Rental Commercial Owner,1,2,10/15/2025 11:59:00 PM,"(29.9678544498245, -90.0570963583748)",3684924.89,536052.64
2520 De Soto St,2520 De Soto St,Short Term Rental Commercial Owner,2,4,10/11/2025 11:59:00 PM,"(29.9762384657214, -90.0772060071659)",3678524.46,539031.03
900 Lyons St,900 Lyons St,Short Term Rental Commercial Owner,2,6,10/16/2025 11:59:00 PM,"(29.9205810471261, -90.1073858880205)",3669186.39,518688.4
3517 Chartres St,3517 Chartres St,Short Term Rental Commercial Owner,5,10,10/14/2025 11:59:00 PM,"(29.9614282105798, -90.0405343163377)",3690195.03,533774.61
3221 Canal St,3221 Canal St,Short Term Rental Commercial Owner,5,10,10/16/2025 11:59:00 PM,"(29.9692367729003, -90.0922457102822)",3673790.64,536433.06
1724 Thalia St,1724 Thalia St,Short Term Rental Commercial Owner,5,10,10/13/2025 11:59:00 PM,"(29.9407606692515, -90.0768599321081)",3678775.49,526131.18
711 S Peters St Apt 204,711 S Peters St Apt 204,Short Term Rental Commercial Owner,2,4,09/25/2025 11:59:00 PM,"(29.9458727587795, -90.0660536736863)",3682177.28,528027.81
3027 Lafitte Ave,3027 Lafitte Ave,Short Term Rental Commercial Owner,2,4,09/26/2025 11:59:00 PM,"(29.9714776908171, -90.0879849709312)",3675130.78,537262.58
711 S Peters St Apt 201,711 S Peters St Apt 201,Short Term Rental Commercial Owner,2,4,09/25/2025 11:59:00 PM,"(29.9458734958798, -90.0659874469614)",3682198.25,528028.31
3233 Saint Thomas St,3233 Saint Thomas St,Short Term Rental Commercial Owner,5,10,09/25/2025 11:59:00 PM,"(29.9193377338756, -90.0848950090263)",3676315.65,518313.21
,,Short Term Rental Commercial Owner,5,10,07/30/2025 11:59:00 PM,"(29.9664503514764, -90.0398998152783)",3690375.32,535603.11
2104 Louisiana Ave Apt 1B,2104 Louisiana Ave Apt 1B,Short Term Rental Commercial Owner,2,4,07/30/2025 11:59:00 PM,"(29.9329076330818, -90.0939850590963)",3673382.83,523216.46
4851 Tchoupitoulas St,4851 Tchoupitoulas St,Short Term Rental Commercial Owner,2,4,07/30/2025 11:59:00 PM,"(29.9167399094097, -90.1071918538681)",3669262.8,517292.28
1233 Saint Bernard Ave,1233 Saint Bernard Ave,Short Term Rental Commercial Owner,5,10,07/30/2025 11:59:00 PM,"(29.9688796862432, -90.0632004320523)",3682988.12,536403.98
4222 S Carrollton Ave,4222 S Carrollton Ave,Short Term Rental Commercial Owner,4,8,07/30/2025 11:59:00 PM,"(29.9699936564751, -90.1050527124119)",3669732.85,536664.6
4827 Tchoupitoulas St,4827 Tchoupitoulas St,Short Term Rental Commercial Owner,4,8,07/30/2025 11:59:00 PM,"(29.9169268110321, -90.1064823421574)",3669486.83,517362.65
2916 Gravier St,2916 Gravier St,Short Term Rental Commercial Owner,3,6,07/30/2025 11:59:00 PM,"(29.9619409270227, -90.094905359529)",3672977.24,533770.9
1330 Magazine St,1330 Magazine St,Short Term Rental Commercial Owner,5,10,07/29/2025 11:59:00 PM,"(29.937539477711, -90.0713858386167)",3680522.04,524978.89
4241 S Carrollton Ave,4241 S Carrollton Ave,Short Term Rental Commercial Owner,3,6,07/31/2025 11:59:00 PM,"(29.9706122652391, -90.1052118960701)",3669680.04,536889.01
2918 Gravier St,2918 Gravier St,Short Term Rental Commercial Owner,3,6,07/30/2025 11:59:00 PM,"(29.9619409270227, -90.094905359529)",3672977.24,533770.9
1804 Oretha Castle Haley Blvd,1804 Oretha Castle Haley Blvd,Short Term Rental Commercial Owner,2,4,08/02/2025 11:59:00 PM,"(29.9388169177782, -90.0807276088328)",3677558.32,525410.95
4114 D'hemecourt St,4114 D'hemecourt St,Short Term Rental Commercial Owner,3,6,07/30/2025 11:59:00 PM,"(29.9706266858282, -90.1052336700585)",3669673.09,536894.18
1719 Thalia St,1719 Thalia St,Short Term Rental Commercial Owner,5,10,07/13/2025 11:59:00 PM,"(29.9409324841873, -90.0766463386801)",3678842.45,526194.4
620 N Pierce St,620 N Pierce St,Short Term Rental Commercial Owner,3,4,07/30/2025 11:59:00 PM,"(29.9779385551837, -90.095514601558)",3672721.49,539586.17
1239 Saint Bernard Ave,1239 Saint Bernard Ave,Short Term Rental Commercial Owner,4,8,07/30/2025 11:59:00 PM,"(29.9689627841465, -90.0631598303196)",3683000.64,536434.34
1940 Burgundy St,1940 Burgundy St,Short Term Rental Commercial Owner,4,8,07/29/2025 11:59:00 PM,"(29.9663328373729, -90.0592093475876)",3684262.04,535491.88
2104 Louisiana Ave Apt 2A,2104 Louisiana Ave Apt 2A,Short Term Rental Commercial Owner,2,4,07/30/2025 11:59:00 PM,"(29.9328722502337, -90.0940152718111)",3673373.4,523203.49
4853 Tchoupitoulas St,4853 Tchoupitoulas St,Short Term Rental Commercial Owner,2,4,07/30/2025 11:59:00 PM,"(29.9167336138687, -90.1072363155933)",3669248.74,517289.84
4858 Tchoupitoulas St,4858 Tchoupitoulas St,Short Term Rental Commercial Owner,2,4,07/30/2025 11:59:00 PM,"(29.9165120747181, -90.1073603201984)",3669210.32,517208.86
212 Magazine St Apt 4A,212 Magazine St Apt 4A,Short Term Rental Commercial Owner,1,2,07/30/2025 11:59:00 PM,"(29.9507583198827, -90.0673129118016)",3681758.87,529799.97
838 Camp St Apt A,838 Camp St Apt A,Short Term Rental Commercial Owner,2,4,08/01/2025 11:59:00 PM,"(29.9447386313486, -90.070532691797)",3680763.39,527599.74
4855 Tchoupitoulas St,4855 Tchoupitoulas St,Short Term Rental Commercial Owner,2,4,07/30/2025 11:59:00 PM,"(29.9167322670229, -90.1072835892031)",3669233.77,517289.19
4239 S Carrollton Ave,4239 S Carrollton Ave,Short Term Rental Commercial Owner,5,10,07/30/2025 11:59:00 PM,"(29.9705725519394, -90.1052468756476)",3669669.12,536874.45
711 S Peters St Apt 207,711 S Peters St Apt 207,Short Term Rental Commercial Owner,2,4,09/25/2025 11:59:00 PM,"(29.9458733359633, -90.0661135998594)",3682158.3,528027.81
3016 Canal St,3016 Canal St,Short Term Rental Commercial Owner,5,10,06/28/2025 11:59:00 PM,"(29.9677191516621, -90.0909996490472)",3674191.14,535885.47
1245 Saint Bernard Ave,1245 Saint Bernard Ave,Short Term Rental Commercial Owner,5,10,07/30/2025 11:59:00 PM,"(29.9690365085451, -90.0632364632929)",3682976.08,536460.88
4849 Tchoupitoulas St,4849 Tchoupitoulas St,Short Term Rental Commercial Owner,3,6,07/30/2025 11:59:00 PM,"(29.9167424256402, -90.1071431769029)",3669278.21,517293.36
4889 Tchoupitoulas St,4889 Tchoupitoulas St,Short Term Rental Commercial Owner,5,10,07/30/2025 11:59:00 PM,"(29.9166774081632, -90.1080011052574)",3669006.69,517266.81
334 Carondelet St Unit 408,334 Carondelet St Unit 408,Short Term Rental Commercial Owner,1,2,07/31/2025 11:59:00 PM,"(29.9508750187554, -90.0712019029786)",3680526.88,529828.82
334 Carondelet St Unit 205,334 Carondelet St Unit 205,Short Term Rental Commercial Owner,1,2,07/31/2025 11:59:00 PM,"(29.9509607053539, -90.0713162396092)",3680490.33,529859.58
4306 S Carrollton Ave Apt 2C,4306 S Carrollton Ave Apt 2C,Short Term Rental Commercial Owner,4,8,07/30/2025 11:59:00 PM,"(29.9704649250917, -90.1044345746502)",3669926.72,536838.07
5615 Tchoupitoulas St,5615 Tchoupitoulas St,Short Term Rental Commercial Owner,1,2,08/08/2025 11:59:00 PM,"(29.9165930911505, -90.1187430473916)",3665604.2,517199.92
1022 Race St Apt 5,1022 Race St Apt 5,Short Term Rental Commercial Owner,2,4,08/06/2025 11:59:00 PM,"(29.9340732600851, -90.0719875702876)",3680345.34,523716.35
4829 Tchoupitoulas St,4829 Tchoupitoulas St,Short Term Rental Commercial Owner,4,8,08/14/2025 11:59:00 PM,"(29.9168017147957, -90.1065149109043)",3669477,517317.05
1309 Saint Bernard Ave,1309 Saint Bernard Ave,Short Term Rental Commercial Owner,1,2,10/13/2025 11:59:00 PM,"(29.969363145613, -90.0634922148542)",3682893.79,536578.76
722 Girod St Apt 101,722 Girod St Apt 101,Short Term Rental Commercial Owner,2,4,08/15/2025 11:59:00 PM,"(29.9474278934821, -90.0719729890625)",3680296.5,528572.63
1726 St Charles Ave,1726 St Charles Ave,Short Term Rental Commercial Owner,3,6,08/14/2025 11:59:00 PM,"(29.9370463880087, -90.0767252691867)",3678832.95,524781
1022 Race St Apt 3,1022 Race St Apt 3,Short Term Rental Commercial Owner,2,4,08/14/2025 11:59:00 PM,"(29.9341203891401, -90.0719697355377)",3680350.8,523733.55
334 Carondelet St Unit 207,334 Carondelet St Unit 207,Short Term Rental Commercial Owner,2,4,09/26/2025 11:59:00 PM,"(29.9509195758468, -90.071331664973)",3680485.61,529844.57
1022 Race St Apt 4,1022 Race St Apt 4,Short Term Rental Commercial Owner,1,2,08/14/2025 11:59:00 PM,"(29.9341001903618, -90.0719769054101)",3680348.61,523726.18
2112 Chartres St,2112 Chartres St,Short Term Rental Commercial Owner,4,8,05/06/2025 11:59:00 PM,"(29.9634638507746, -90.0574184483502)",3684840.69,534454.92
1714 Thalia St,1714 Thalia St,Short Term Rental Commercial Owner,,,08/13/2025 11:59:00 PM,"(29.9406731321503, -90.0766953259758)",3678827.97,526099.92
3223 Canal St,3223 Canal St,Short Term Rental Commercial Owner,5,10,10/16/2025 11:59:00 PM,"(29.9692628160936, -90.0922807925418)",3673779.43,536442.41
1012 Elysian Fields Ave Apt 2,1012 Elysian Fields Ave Apt 2,Short Term Rental Commercial Owner,1,2,08/11/2025 11:59:00 PM,"(29.9678525247025, -90.0571332101458)",3684913.23,536051.81
801 Frenchmen St Apt 2,801 Frenchmen St Apt 2,Short Term Rental Commercial Owner,3,6,07/29/2025 11:59:00 PM,"(29.9657356455196, -90.0577868102386)",3684714.86,535279.73
334 Carondelet St Unit 202,334 Carondelet St Unit 202,Short Term Rental Commercial Owner,2,4,08/14/2025 11:59:00 PM,"(29.9510254755423, -90.0712969784076)",3680496.17,529883.2
"1525 Robert C Blakes, SR Dr C","1525 Robert C Blakes, SR Dr C",Short Term Rental Commercial Owner,2,4,05/28/2025 11:59:00 PM,"(29.9393501709881, -90.0772462669447)",3678658.76,525616.93
3713 Bienville Ave,3713 Bienville Ave,Short Term Rental Commercial Owner,4,8,05/30/2025 11:59:00 PM,"(29.9739550852678, -90.0953495590611)",3672789.39,538138.19
3733 Bienville Ave,3733 Bienville Ave,Short Term Rental Commercial Owner,4,8,05/30/2025 11:59:00 PM,"(29.9741530171702, -90.0956816306773)",3672683.48,538209.03
3709 Bienville Ave,3709 Bienville Ave,Short Term Rental Commercial Owner,4,8,05/30/2025 11:59:00 PM,"(29.9739097158605, -90.0952974998406)",3672806.05,538121.87
1024 Sixth St Apt 202,1024 Sixth St Apt 202,Short Term Rental Commercial Owner,1,2,05/29/2025 11:59:00 PM,"(29.924953834729, -90.0837786417484)",3676647.01,520359.28
1812 Carondelet St Unit 1,1812 Carondelet St Unit 1,Short Term Rental Commercial Owner,3,6,05/28/2025 11:59:00 PM,"(29.936869242871, -90.0788701951062)",3678154.33,524709.14
1524 Baronne St Apt 3B,1524 Baronne St Apt 3B,Short Term Rental Commercial Owner,5,10,05/29/2025 11:59:00 PM,"(29.9398076866226, -90.0780528444061)",3678401.49,525780.5
3717 Bienville Ave,3717 Bienville Ave,Short Term Rental Commercial Owner,4,8,05/30/2025 11:59:00 PM,"(29.9739910580004, -90.0954171173138)",3672767.86,538151.04
801 Frenchmen St Apt 1,801 Frenchmen St Apt 1,Short Term Rental Commercial Owner,2,4,07/29/2025 11:59:00 PM,"(29.9657349337756, -90.0578098437093)",3684707.57,535279.39
628 Baronne St Apt 302,628 Baronne St Apt 302,Short Term Rental Commercial Owner,2,4,08/14/2025 11:59:00 PM,"(29.9482219677699, -90.0733777998391)",3679848.45,528856.49
209 Thayer St,209 Thayer St,Short Term Rental Commercial Owner,5,10,08/11/2025 11:59:00 PM,"(29.9539971291308, -90.0427309396398)",3689529.94,531064.56
3004 Canal St Apt 102,3004 Canal St Apt 102,Short Term Rental Commercial Owner,1,2,10/10/2025 11:59:00 PM,"(29.9675703000339, -90.0908807570387)",3674229.37,535831.75
334 Carondelet St Unit 201,334 Carondelet St Unit 201,Short Term Rental Commercial Owner,3,6,08/14/2025 11:59:00 PM,"(29.9510483574623, -90.0712914469217)",3680497.83,529891.54
628 Baronne St Apt 301,628 Baronne St Apt 301,Short Term Rental Commercial Owner,2,4,08/14/2025 11:59:00 PM,"(29.9482267864714, -90.0734014224288)",3679840.95,528858.16
818 Elysian Fields Ave B,818 Elysian Fields Ave B,Short Term Rental Commercial Owner,1,2,09/24/2025 11:59:00 PM,"(29.9659938108864, -90.0570177340389)",3684957.32,535376.32
334 Carondelet St Unit 203,334 Carondelet St Unit 203,Short Term Rental Commercial Owner,2,4,08/13/2025 11:59:00 PM,"(29.9510056905074, -90.0713042707142)",3680493.94,529875.98
622 S Lopez St,622 S Lopez St,Short Term Rental Commercial Owner,1,2,08/15/2025 11:59:00 PM,"(29.9636944466318, -90.0962990372908)",3672529.07,534403.78
2116 Chartres St,2116 Chartres St,Short Term Rental Commercial Owner,4,8,08/13/2025 11:59:00 PM,"(29.9634747511223, -90.0573089061837)",3684875.33,534459.27
1330 Prytania St Apt 202,1330 Prytania St Apt 202,Short Term Rental Commercial Owner,2,4,08/12/2025 11:59:00 PM,"(29.93910971305, -90.0733582405997)",3679891.08,525543.01
1109 Erato St,1109 Erato St,Short Term Rental Commercial Owner,1,2,08/12/2025 11:59:00 PM,"(29.939463194785, -90.0712777753281)",3680548.56,525678.8
1421 Carondelet St,1421 Carondelet St,Short Term Rental Commercial Owner,5,10,10/13/2025 11:59:00 PM,"(29.9401833666483, -90.0766502463989)",3678844.2,525921.98
731 Jackson Ave,731 Jackson Ave,Short Term Rental Commercial Owner,5,10,06/10/2025 11:59:00 PM,"(29.9270406901008, -90.0743403539991)",3679628.26,521150.86
722 Girod St Apt 301,722 Girod St Apt 301,Short Term Rental Commercial Owner,2,4,06/11/2025 11:59:00 PM,"(29.947342084991, -90.0719979148343)",3680288.95,528541.34
"1523 Robert C Blakes, SR Dr A","1523 Robert C Blakes, SR Dr A",Short Term Rental Commercial Owner,2,4,05/28/2025 11:59:00 PM,"(29.9393764471433, -90.0772246546014)",3678665.5,525626.56
3741 Bienville Ave,3741 Bienville Ave,Short Term Rental Commercial Owner,4,8,05/30/2025 11:59:00 PM,"(29.9742285916759, -90.0957991408596)",3672645.98,538236.11
500 Jackson Ave,500 Jackson Ave,Short Term Rental Commercial Owner,4,8,05/29/2025 11:59:00 PM,"(29.9246784606535, -90.0727091340992)",3680154.39,520297.55
1024 Sixth St Apt 204,1024 Sixth St Apt 204,Short Term Rental Commercial Owner,1,2,05/29/2025 11:59:00 PM,"(29.9249182140596, -90.0838241072338)",3676632.75,520346.17
1024 Sixth St Apt 203,1024 Sixth St Apt 203,Short Term Rental Commercial Owner,1,2,05/29/2025 11:59:00 PM,"(29.9249351810682, -90.0837951025212)",3676641.87,520352.44
3616 Magazine St Apt 101,3616 Magazine St Apt 101,Short Term Rental Commercial Owner,2,4,09/26/2025 11:59:00 PM,"(29.9217710600891, -90.0920912732984)",3674026.51,519173.29
"1533 Robert C Blakes, SR Dr","1533 Robert C Blakes, SR Dr",Short Term Rental Commercial Owner,3,6,05/29/2025 11:59:00 PM,"(29.939210229342, -90.0773534574061)",3678625.37,525565.67
1210 Carondelet St Unit B,1210 Carondelet St Unit B,Short Term Rental Commercial Owner,3,6,06/01/2025 11:59:00 PM,"(29.9417576778547, -90.0751243792954)",3679321.16,526499.76
25484 Chef Menteur Hwy,25484 Chef Menteur Hwy,Short Term Rental Commercial Owner,3,6,09/26/2025 11:59:00 PM,"(30.1391871988757, -89.7527734064953)",3780416.94,599555.5
1524 Baronne St Apt 2A,1524 Baronne St Apt 2A,Short Term Rental Commercial Owner,4,8,05/29/2025 11:59:00 PM,"(29.9398614040691, -90.0781403583901)",3678373.56,525799.73
3745 Bienville Ave,3745 Bienville Ave,Short Term Rental Commercial Owner,4,8,05/30/2025 11:59:00 PM,"(29.9742750266045, -90.0958621792135)",3672625.84,538252.78
1524 Baronne St Apt 3A,1524 Baronne St Apt 3A,Short Term Rental Commercial Owner,5,10,05/29/2025 11:59:00 PM,"(29.9398281588895, -90.0780858356214)",3678390.96,525787.83
21619 Chef Menteur Hwy,21619 Chef Menteur Hwy,Short Term Rental Commercial Owner,3,6,05/28/2025 11:59:00 PM,"(30.0782735777913, -89.7933257420351)",3767897.64,577230.63
1417 Carondelet St,1417 Carondelet St,Short Term Rental Commercial Owner,5,10,10/13/2025 11:59:00 PM,"(29.9402487611617, -90.0766098905367)",3678856.72,525945.9
1818 Carondelet St Unit 3,1818 Carondelet St Unit 3,Short Term Rental Commercial Owner,4,8,05/28/2025 11:59:00 PM,"(29.936799714493, -90.0789154625115)",3678140.27,524683.7
3616 Magazine St Apt 201,3616 Magazine St Apt 201,Short Term Rental Commercial Owner,2,4,09/26/2025 11:59:00 PM,"(29.9217436267965, -90.0920779448641)",3674030.84,519163.36
3701 Bienville Ave,3701 Bienville Ave,Short Term Rental Commercial Owner,4,8,05/30/2025 11:59:00 PM,"(29.973844508449, -90.0951829255777)",3672842.58,538098.55
1812 Carondelet St Unit 3,1812 Carondelet St Unit 3,Short Term Rental Commercial Owner,3,6,05/28/2025 11:59:00 PM,"(29.9368330672728, -90.0788169103925)",3678171.35,524696.17
3729 Bienville Ave,3729 Bienville Ave,Short Term Rental Commercial Owner,4,8,05/30/2025 11:59:00 PM,"(29.9741121790676, -90.0956259773493)",3672701.26,538194.37
1024 Sixth St Apt 201,1024 Sixth St Apt 201,Short Term Rental Commercial Owner,1,2,05/29/2025 11:59:00 PM,"(29.9249660997811, -90.0837496958841)",3676656.13,520363.84
1721 Terpsichore St,1721 Terpsichore St,Short Term Rental Commercial Owner,3,6,05/28/2025 11:59:00 PM,"(29.9394591019505, -90.0777709690166)",3678492.15,525654.72
717 Teche St,717 Teche St,Short Term Rental Commercial Owner,5,10,05/29/2025 11:59:00 PM,"(29.9480849635162, -90.0525402014691)",3686447.79,528879.83
334 Carondelet St Unit 204,334 Carondelet St Unit 204,Short Term Rental Commercial Owner,1,2,09/25/2025 11:59:00 PM,"(29.9509843209015, -90.0713097830678)",3680492.28,529868.19
1524 Baronne St Apt 2C,1524 Baronne St Apt 2C,Short Term Rental Commercial Owner,3,6,05/29/2025 11:59:00 PM,"(29.9398345561541, -90.0780991746326)",3678386.71,525790.11
711 S Peters St Apt 202,711 S Peters St Apt 202,Short Term Rental Commercial Owner,2,4,09/25/2025 11:59:00 PM,"(29.9458737236667, -90.0660110953826)",3682190.76,528028.31
"1527 Robert C Blakes, SR Dr","1527 Robert C Blakes, SR Dr",Short Term Rental Commercial Owner,3,6,05/28/2025 11:59:00 PM,"(29.9393136869246, -90.0772673131052)",3678652.24,525603.59
3721 Bienville Ave,3721 Bienville Ave,Short Term Rental Commercial Owner,4,8,05/30/2025 11:59:00 PM,"(29.9740286921193, -90.0954800434423)",3672747.79,538164.51
711 S Peters St Apt 104,711 S Peters St Apt 104,Short Term Rental Commercial Owner,2,4,09/25/2025 11:59:00 PM,"(29.9459217456996, -90.0660774923283)",3682169.54,528045.54
711 S Peters St Apt 205,711 S Peters St Apt 205,Short Term Rental Commercial Owner,2,4,09/25/2025 11:59:00 PM,"(29.9458729561441, -90.0660741647749)",3682170.79,528027.81
1824 Carondelet St Apt 102,1824 Carondelet St Apt 102,Short Term Rental Commercial Owner,4,8,05/29/2025 11:59:00 PM,"(29.93678907815, -90.0790055197401)",3678111.79,524679.52
3705 Bienville Ave,3705 Bienville Ave,Short Term Rental Commercial Owner,4,8,05/30/2025 11:59:00 PM,"(29.9738795311551, -90.0952342603009)",3672826.19,538111.11
"1531 Robert C Blakes, SR Dr","1531 Robert C Blakes, SR Dr",Short Term Rental Commercial Owner,3,6,05/29/2025 11:59:00 PM,"(29.9392460561863, -90.0773211788503)",3678635.45,525578.81
3737 Bienville Ave,3737 Bienville Ave,Short Term Rental Commercial Owner,4,8,05/30/2025 11:59:00 PM,"(29.9742011548665, -90.0957444267031)",3672663.41,538226.32
1524 Baronne St Apt 1A,1524 Baronne St Apt 1A,Short Term Rental Commercial Owner,4,8,05/29/2025 11:59:00 PM,"(29.9398852584073, -90.0781733071033)",3678363.03,525808.29
1824 Carondelet St Apt 301,1824 Carondelet St Apt 301,Short Term Rental Commercial Owner,5,10,05/28/2025 11:59:00 PM,"(29.936734996476, -90.0789864655604)",3678118.04,524659.92
"1529 Robert C Blakes, SR Dr","1529 Robert C Blakes, SR Dr",Short Term Rental Commercial Owner,3,6,05/28/2025 11:59:00 PM,"(29.9392730563105, -90.0773005046895)",3678641.89,525588.7
1524 Baronne St Apt 2B,1524 Baronne St Apt 2B,Short Term Rental Commercial Owner,3,6,05/29/2025 11:59:00 PM,"(29.9398435443459, -90.0781160174843)",3678381.34,525793.32
1523 N Broad St,1523 N Broad St,Short Term Rental Commercial Owner,3,6,05/28/2025 11:59:00 PM,"(29.978292785419, -90.0765634265316)",3678719.7,539780.29
711 S Peters St Apt 210,711 S Peters St Apt 210,Short Term Rental Commercial Owner,1,2,09/25/2025 11:59:00 PM,"(29.9458725987994, -90.0661798265833)",3682137.33,528027.31
711 S Peters St Apt 203,711 S Peters St Apt 203,Short Term Rental Commercial Owner,2,4,09/25/2025 11:59:00 PM,"(29.9458739362436, -90.0660331651377)",3682183.77,528028.31
3624 Magazine St Apt 201,3624 Magazine St Apt 201,Short Term Rental Commercial Owner,1,2,09/26/2025 11:59:00 PM,"(29.9216555235248, -90.0922418757046)",3673979.26,519130.76
711 S Peters St Apt 208,711 S Peters St Apt 208,Short Term Rental Commercial Owner,2,4,09/25/2025 11:59:00 PM,"(29.945872173691, -90.0661356870732)",3682151.31,528027.31
5111 N Claiborne Ave,5111 N Claiborne Ave,Short Term Rental Commercial Owner,3,6,08/08/2025 11:59:00 PM,"(29.9676490689129, -90.0192082509341)",3696921.64,536113.55
711 S Peters St Apt 209,711 S Peters St Apt 209,Short Term Rental Commercial Owner,2,4,09/25/2025 11:59:00 PM,"(29.9458723710429, -90.0661561781619)",3682144.82,528027.31
3119 Conti St,3119 Conti St,Short Term Rental Commercial Owner,3,6,09/22/2025 11:59:00 PM,"(29.9711549853791, -90.0894423570452)",3674670.64,537140.22
